Date,Open,High,Low,Close,Adj Close,Volume
2016-09-02,121.379997,121.849998,121.089996,121.550003,118.425911,23800
2016-09-06,121.959999,122.199997,121.570000,122.199997,119.059219,22600
2016-09-07,122.400002,122.459999,122.010002,122.389999,119.244316,30200
2016-09-08,122.349998,122.349998,121.269997,121.529999,118.406425,51200
2016-09-09,120.800003,120.800003,118.930000,118.970001,115.912216,17500
2016-09-12,117.930000,120.610001,117.930000,120.559998,117.461334,14900
2016-09-13,120.000000,120.099998,118.930000,119.389999,116.321419,55000
2016-09-14,119.529999,120.470001,119.529999,119.910004,116.828056,271600
2016-09-15,119.949997,121.860001,119.949997,121.769997,118.640259,31500
2016-09-16,121.860001,121.860001,120.910004,121.410004,118.289520,16700
2016-09-19,121.860001,122.400002,121.120003,121.339996,118.221313,20000
2016-09-20,121.730003,121.930000,121.199997,121.550003,118.425911,11400
2016-09-21,121.790001,122.680000,121.360001,122.680000,119.526886,36100
2016-09-22,123.349998,123.669998,123.290001,123.559998,120.384254,93300
2016-09-23,123.250000,123.279999,122.470001,122.660004,119.507401,14900
2016-09-26,121.709999,121.779999,121.360001,121.519997,118.600685,11800
2016-09-27,121.889999,123.089996,121.889999,123.019997,120.064659,25300
2016-09-28,123.279999,123.589996,122.820000,123.589996,120.620972,11400
2016-09-29,123.620003,123.620003,122.720001,122.959999,120.006096,15400
2016-09-30,123.250000,124.050003,123.250000,123.610001,120.640495,23400
2016-10-03,123.879997,123.879997,123.150002,123.430000,120.464813,31700
2016-10-04,123.989998,123.989998,122.750000,123.099998,120.142754,30400
2016-10-05,123.550003,124.169998,123.160004,123.900002,120.923515,18700
2016-10-06,124.059998,124.099998,123.300003,123.989998,121.011368,23900
2016-10-07,124.309998,124.309998,123.050003,123.540001,120.572182,16000
2016-10-10,124.089996,124.629997,124.089996,124.199997,121.216316,9600
2016-10-11,124.620003,124.620003,122.019997,122.519997,119.576668,19200
2016-10-12,122.570000,122.790001,121.989998,122.540001,119.596214,17500
2016-10-13,121.220001,122.050003,120.580002,121.669998,118.747070,28000
2016-10-14,122.519997,122.940002,122.099998,122.339996,119.400993,10600
2016-10-17,122.190002,122.190002,121.620003,121.639999,118.717812,22500
2016-10-18,123.150002,123.150002,122.449997,122.669998,119.723068,18200
2016-10-19,122.540001,122.980003,122.540001,122.839996,119.888985,22700
2016-10-20,122.760002,122.760002,121.800003,122.559998,119.615715,99400
